file_name,image_id,num_boxes,unique_classes,top_classes
000000140556.jpg,140556,6,3,"person:4, fire hydrant:1, truck:1"
000000140640.jpg,140640,11,5,"cake:5, person:3, potted plant:1, dining table:1, knife:1"
000000140987.jpg,140987,18,6,"person:6, cup:4, chair:3, potted plant:2, dining table:2"
000000142620.jpg,142620,15,9,"cup:3, bottle:2, chair:2, spoon:2, bowl:2"
000000144003.jpg,144003,13,8,"person:6, refrigerator:1, knife:1, bowl:1, cake:1"
000000144333.jpg,144333,8,5,"car:4, cell phone:1, bicycle:1, person:1, handbag:1"
000000144984.jpg,144984,5,3,"couch:2, remote:2, person:1"
000000146155.jpg,146155,21,3,"bottle:13, person:5, wine glass:3"
000000146358.jpg,146358,11,7,"person:4, chair:2, tie:1, cake:1, wine glass:1"
000000148662.jpg,148662,4,2,"person:3, hot dog:1"
000000151629.jpg,151629,6,3,"person:3, tennis racket:2, sports ball:1"
000000151657.jpg,151657,3,2,"person:2, tie:1"
000000152214.jpg,152214,2,2,"tie:1, person:1"
000000152686.jpg,152686,4,3,"person:2, sports ball:1, tennis racket:1"
000000153669.jpg,153669,16,4,"person:13, baseball bat:1, baseball glove:1, bench:1"
000000153797.jpg,153797,3,3,"sports ball:1, baseball glove:1, person:1"
000000154425.jpg,154425,2,2,"person:1, kite:1"
000000156924.jpg,156924,7,3,"remote:4, person:2, chair:1"
000000158227.jpg,158227,2,2,"person:1, baseball bat:1"
000000161781.jpg,161781,2,2,"person:1, skis:1"
000000161861.jpg,161861,2,2,"person:1, tennis racket:1"
000000161925.jpg,161925,3,2,"person:2, pizza:1"
000000162092.jpg,162092,16,4,"person:11, cake:3, fork:1, chair:1"
000000162415.jpg,162415,2,2,"person:1, baseball glove:1"
000000162581.jpg,162581,2,2,"person:1, tennis racket:1"
000000163118.jpg,163118,3,2,"person:2, frisbee:1"
000000163257.jpg,163257,3,2,"person:2, umbrella:1"
000000163682.jpg,163682,3,3,"chair:1, tie:1, person:1"
000000164883.jpg,164883,4,3,"remote:2, person:1, tv:1"
000000166768.jpg,166768,3,2,"person:2, tie:1"
000000167067.jpg,167067,2,2,"tie:1, person:1"
000000168883.jpg,168883,6,3,"person:4, cell phone:1, handbag:1"
000000168974.jpg,168974,3,3,"cell phone:1, person:1, remote:1"
000000170099.jpg,170099,3,3,"couch:1, tie:1, person:1"
000000170474.jpg,170474,4,4,"sports ball:1, person:1, tennis racket:1, chair:1"
000000171788.jpg,171788,3,3,"sports ball:1, person:1, tennis racket:1"
000000173008.jpg,173008,18,9,"cake:8, banana:2, oven:2, person:1, orange:1"
000000174371.jpg,174371,8,3,"person:6, bottle:1, cell phone:1"
000000177489.jpg,177489,21,10,"chair:3, wine glass:3, orange:3, bottle:2, person:2"
000000179112.jpg,179112,2,2,"cell phone:1, person:1"
000000180101.jpg,180101,11,6,"person:4, chair:2, fork:2, dining table:1, cake:1"
000000180135.jpg,180135,2,2,"person:1, skateboard:1"
000000183391.jpg,183391,27,3,"person:13, chair:13, tennis racket:1"
000000183648.jpg,183648,4,2,"person:3, elephant:1"
000000183716.jpg,183716,5,3,"tie:2, person:2, chair:1"
000000193743.jpg,193743,5,2,"person:4, tennis racket:1"
000000199055.jpg,199055,2,2,"person:1, skateboard:1"
000000199310.jpg,199310,2,2,"person:1, tennis racket:1"
000000201072.jpg,201072,5,2,"person:4, tennis racket:1"
000000201646.jpg,201646,4,4,"person:1, chair:1, remote:1, couch:1"
000000202001.jpg,202001,3,3,"couch:1, cell phone:1, person:1"
000000206025.jpg,206025,2,2,"tie:1, person:1"
